timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-11T23:43:46,codecarbon,3a22397c-be44-42c5-93b2-abf2c03a60cc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,788.8405017000005,0.0002856212786843,3.620773503247664e-07,7.919146711238385,6.601152781404562,10.0,0.0016314619719162,0.0014071539035,0.0020582145227777,0.005096830398194,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,8.427506426735219,0.0,78.36131105398458,12.296086318695147,N,1.0,0.0
2026-04-11T23:57:10,codecarbon,ffb888aa-38ba-474e-b990-289e48c84870,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,57.63505699999951,1.882855300878725e-05,3.266857705855556e-07,6.432301717120001,5.881593382443151,10.0,9.633747696668842e-05,8.982896075199892e-05,0.0001498237299999,0.0003359901677186,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,5.454545454545454,0.0,69.63818181818182,10.92716133811257,N,1.0,0.0
2026-04-12T00:07:57,codecarbon,59cdc15e-87b7-4f1c-977a-95fea2f5e6f0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,21.715732700002263,6.85493227550522e-06,3.156666353470314e-07,6.503161572160001,5.927217083197477,10.0,3.5641349689049425e-05,3.170085869400041e-05,5.49821063888986e-05,0.0001223243147719,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.0,0.0,71.27368421052631,11.183266288355776,N,1.0,0.0
2026-04-12T14:09:38,codecarbon,320c0099-70d7-4490-85b5-81d0a98576f1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,33.558032099999764,1.0986457197468005e-05,3.273868135273666e-07,6.7367250191200005,6.023406942183054,10.0,5.766405099142171e-05,5.242337527200012e-05,8.596277444444241e-05,0.0001960502007078,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.0,0.0,70.74838709677418,11.103107575447329,N,1.0,0.0
2026-04-12T14:17:38,codecarbon,c546ed7b-5379-4276-a4bf-b5deb63d85f1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,83.02452119999907,2.734704944554165e-05,3.293852111434032e-07,6.45523295284,6.194512388969117,10.0,0.0001386349287676,0.0001344289964319,0.0002149363861111,0.0004880003113107,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,1.25,0.0,62.3925,9.790842485427856,N,1.0,0.0
2026-04-12T14:25:10,codecarbon,896664cd-bf0f-4f5a-a01c-327611eee706,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,311.0139522999998,0.0001042135910255,3.350769001033117e-07,6.459822262548572,5.891345026666668,10.0,0.0005322704607248,0.000503402069388,0.0008239893308333,0.0018596618609461,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.5194805194805194,0.0,64.53376623376624,10.125693073520411,N,1.0,0.0
2026-04-12T14:41:19,codecarbon,db7a3c97-fe1a-45ff-9869-5490c39233c7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,152.35815000000002,5.306324969294983e-05,3.482796929009037e-07,6.502831646920001,5.959034889225348,11.0,0.00026000308732,0.000246341030406,0.0004405544652777,0.0009468985830037,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.6711409395973155,0.0,78.05436241610738,12.24794444141772,N,1.0,0.0
2026-04-12T14:46:53,codecarbon,d56f52b3-9b93-4841-b8a1-a9b0c8e4ee43,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.68566739999915,1.445418084950756e-05,4.422177057797491e-07,6.612383745505883,8.655154617016198,10.0,8.280887743358702e-05,4.97733731520001e-05,0.0001253484913888,0.0002579307419744,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.0,0.0,75.44333333333333,11.839429601033528,N,1.0,0.0
2026-04-12T15:51:08,codecarbon,e8eefb4b-cb37-43e9-add7-d19716d2e3b8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,19.57558880000033,6.457093569609216e-06,3.298543729938333e-07,7.250908463200001,5.998230498976394,10.0,3.5888932441301254e-05,2.9172523337999724e-05,5.016354055555894e-05,0.0001152249963348,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,0.0,0.0,67.2764705882353,10.557926851160389,N,1.0,0.0
2026-04-12T16:08:37,codecarbon,d993311b-9ec2-45e8-ace1-4f147ef1d7dd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,90.40445250000084,3.0578120517067264e-05,3.382368862536608e-07,6.598661675040002,6.188116117663991,10.0,0.0001565675746442,0.0001517509547339,0.0002373393252777,0.0005456578546559,0.0,France,FRA,rhône-alpes,,,Windows-11-10.0.26200-SP0,3.14.4,3.2.6,16,13th Gen Intel(R) Core(TM) i5-13450HX,1,1 x NVIDIA GeForce RTX 3050 6GB Laptop GPU,4.85,45.748,15.692092895507812,machine,1.1363636363636365,0.0,76.78522727272728,12.049817822196268,N,1.0,0.0
